Tipo_Acero_Limpio,Grado_Acero,Ciclo,Familia,Muestra_Probeta_Temp,Soaking,,Alarg Max Req (merged),Alarg Min Req (merged),Alarg. Obt. (%) (merged),Fluencia 0.2% Obt (merged),Fluencia 0.5% Obt (merged),Fluencia 0.6% Obt (merged),Fluencia 0.7% Obt (merged),Fluencia Max Req (merged),Fluencia Min Req (merged),Fluencia Offset Obt (merged),Rotura Max Req (merged),Rotura Min Req (merged),Rotura Obt (merged),,,Dureza Ind. Máx. Obt 1 (merged),Dureza Ind. Max. Req (merged),Dureza Ind. Mín. Obt 1 (merged),Dureza Ind. Min. Req (merged),Dureza Prom. Máx. Obt 1 (merged),Dureza Prom. Max. Req (merged),Dureza Prom. Mín. Obt 1 (merged),Dureza Prom. Mín. Req (merged),,,Area Dúctil Indiv. Max. Req (%) (merged),Area Dúctil Indiv. Min. Obt (%) (merged),Area Dúctil Indiv. Min. Req (%) (merged),Area Dúctil Prom. Max. Req (%) (merged),Area Dúctil Prom. Min. Obt (%) (merged),Area Dúctil Prom. Min. Req (%) (merged),Energia Indiv. Max. Req. (J) (merged),Energia Indiv. Min. Obt. (J) (merged),Energia Indiv. Min. Req. (J) (merged),Energia Prom. Max. Req. (J) (merged),Energia Prom. Min. Obt. (J) (merged),Energia Prom. Min. Req. (J) (merged),Temp Ensayo Req (merged)
DS748,13-5-2 95,3228,TN95 Super Cr13,4084798-6287004-600,45,,,,,,,,,,,,,,,,,28.3,,26.9,,27.5,,27.3,,,,,,,,,,,,,,,,
DS748,13-5-2 95,3228,TN95 Super Cr13,4084798-6287006-600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,158,40,,160,60,-10
DS748,13-5-2 95,3228,TN95 Super Cr13,4084798-6287007-600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,166,,,168,,0
DS035,1035 BKS,35822,1035,4135101-6358136-550,5,,,12,19,577,,,,,550,,,650,664,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD900,32314,,4165671-6398557-520,5,,,16,15.5,1016,,,,,750,,,900,1113,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD900,32314,,4165671-6398558-520,5,,,,,,,,,,,,,,,,,36.5,,35.7,,36.2,,36.2,,,,,,,,,,,,,,,,
DS641,TD900,32314,,4165671-6398560-520,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,15,,,10,,,10,,0
DS641,TD900,32321,,4166459-6399520-520,5,,,16,14.5,,,,,,750,952,,900,1052,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD900,32321,,4166459-6399521-520,5,,,,,,,,,,,,,,,,,35.1,,35,,35.03,,35.03,,,,,,,,,,,,,,,,
DS701,P 110,83088,P110,4206428-6452979-480,10,,,15.5,25.5,,926,999,,965,758,,,862,1077,,,,,,,,,,,,,,,,,,,,,,,,,
DS701,P 110,83088,P110,4206428-6452980-480,10,,,,,,,,,,,,,,,,,38,,38,,37.63,,37.63,,,,,,,,,,,,,,,,
DS701,P 110,83088,P110,4206428-6452982-480,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,60,,,58,,,59,,-10
DS701,P 110,83088,P110,4206428-6452983-480,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,75,,80,,,72,,,74,22,0
DS748,13-5-2 95,3228,TN95 Super Cr13,4084803-6287016-605,45,,,,34.5,686,669,,,724,655,,,724,835,,,,,,,,,,,,,,,,,,,,,,,,,
DS748,13-5-2 95,3228,TN95 Super Cr13,4084803-6287018-605,45,,,,,,,,,,,,,,,,,27.5,28,25.8,,26.83,27,26.2,,,,,,,,,,,,,,,,
DS748,13-5-2 95,3228,TN95 Super Cr13,4084803-6287020-605,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,164,40,,168,60,-10
DS748,13-5-2 95,3228,TN95 Super Cr13,4084803-6287021-605,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,162,,,168,,0
DS609,K55,84079,,4141021-6365989-550,10,,,18.2,37.5,,553,,,552,379,553,,655,683,,,,,,,,,,,,,,,,,,,,,,,,,
